Begin,End,Label,Type,Speaker
0.03,0.12,she,words,samples
0.12,0.41,pushed,words,samples
0.41,0.5,him,words,samples
0.5,0.79,toward,words,samples
0.79,0.86,the,words,samples
0.86,1.05,big,words,samples
1.05,1.39,chair,words,samples
1.39,1.49,by,words,samples
1.49,1.57,the,words,samples
1.57,1.99,fire,words,samples
1.99,2.12,and,words,samples
2.12,2.35,sat,words,samples
2.35,2.62,down,words,samples
2.62,2.74,on,words,samples
2.74,2.78,a,words,samples
2.78,3.19,stool,words,samples
3.19,3.26,at,words,samples
3.26,3.37,the,words,samples
3.37,3.76,opposite,words,samples
3.76,4.02,side,words,samples
4.02,4.09,of,words,samples
4.09,4.16,the,words,samples
4.16,4.59,hearth,words,samples
4.82,4.97,her,words,samples
4.97,5.28,knees,words,samples
5.28,5.54,drawn,words,samples
5.58,5.73,up,words,samples
5.73,5.88,to,words,samples
5.88,5.95,her,words,samples
5.95,6.36,chin,words,samples
6.61,7.09,laughing,words,samples
7.09,7.26,like,words,samples
7.26,7.31,a,words,samples
7.31,7.69,happy,words,samples
7.69,7.95,little,words,samples
7.95,8.32,girl,words,samples
0.03,0.09,SH,phones,samples
0.09,0.12,IY1,phones,samples
0.12,0.2,P,phones,samples
0.2,0.27,UH1,phones,samples
0.27,0.35,SH,phones,samples
0.35,0.41,T,phones,samples
0.41,0.44,IH0,phones,samples
0.44,0.5,M,phones,samples
0.5,0.6,T,phones,samples
0.6,0.67,AO1,phones,samples
0.67,0.73,R,phones,samples
0.73,0.79,D,phones,samples
0.79,0.82,DH,phones,samples
0.82,0.86,AH0,phones,samples
0.86,0.92,B,phones,samples
0.92,0.98,IH1,phones,samples
0.98,1.05,G,phones,samples
1.05,1.21,CH,phones,samples
1.21,1.3,EH1,phones,samples
1.3,1.39,R,phones,samples
1.39,1.43,B,phones,samples
1.43,1.49,AY1,phones,samples
1.49,1.53,DH,phones,samples
1.53,1.57,AH0,phones,samples
1.57,1.7,F,phones,samples
1.7,1.91,AY1,phones,samples
1.91,1.99,R,phones,samples
1.99,2.05,AH0,phones,samples
2.05,2.08,N,phones,samples
2.08,2.12,D,phones,samples
2.12,2.22,S,phones,samples
2.22,2.32,AE1,phones,samples
2.32,2.35,T,phones,samples
2.35,2.43,D,phones,samples
2.43,2.58,AW1,phones,samples
2.58,2.62,N,phones,samples
2.62,2.68,AA1,phones,samples
2.68,2.74,N,phones,samples
2.74,2.78,AH0,phones,samples
2.78,2.93,S,phones,samples
2.93,3.0,T,phones,samples
3.0,3.04,UW1,phones,samples
3.04,3.19,L,phones,samples
3.19,3.22,AE1,phones,samples
3.22,3.26,T,phones,samples
3.26,3.3,DH,phones,samples
3.3,3.37,IY0,phones,samples
3.37,3.48,AA1,phones,samples
3.48,3.53,P,phones,samples
3.53,3.56,AH0,phones,samples
3.56,3.66,Z,phones,samples
3.66,3.7,AH0,phones,samples
3.7,3.76,T,phones,samples
3.76,3.86,S,phones,samples
3.86,3.98,AY1,phones,samples
3.98,4.02,D,phones,samples
4.02,4.06,AH0,phones,samples
4.06,4.09,V,phones,samples
4.09,4.12,DH,phones,samples
4.12,4.16,AH1,phones,samples
4.16,4.27,HH,phones,samples
4.27,4.37,AA1,phones,samples
4.37,4.46,R,phones,samples
4.46,4.59,TH,phones,samples
4.82,4.9,HH,phones,samples
4.9,4.97,ER0,phones,samples
4.97,5.04,N,phones,samples
5.04,5.18,IY1,phones,samples
5.18,5.28,Z,phones,samples
5.28,5.35,D,phones,samples
5.35,5.38,R,phones,samples
5.38,5.48,AA1,phones,samples
5.48,5.54,N,phones,samples
5.58,5.64,AH1,phones,samples
5.64,5.73,P,phones,samples
5.73,5.81,T,phones,samples
5.81,5.88,UW1,phones,samples
5.88,5.91,HH,phones,samples
5.91,5.95,ER0,phones,samples
5.95,6.13,CH,phones,samples
6.13,6.25,IH1,phones,samples
6.25,6.36,N,phones,samples
6.61,6.69,L,phones,samples
6.69,6.82,AE1,phones,samples
6.82,6.96,F,phones,samples
6.96,7.0,IH0,phones,samples
7.0,7.09,NG,phones,samples
7.09,7.13,L,phones,samples
7.13,7.2,AY1,phones,samples
7.2,7.26,K,phones,samples
7.26,7.31,AH0,phones,samples
7.31,7.43,HH,phones,samples
7.43,7.52,AE1,phones,samples
7.52,7.61,P,phones,samples
7.61,7.69,IY0,phones,samples
7.69,7.79,L,phones,samples
7.79,7.82,IH1,phones,samples
7.82,7.85,T,phones,samples
7.85,7.88,AH0,phones,samples
7.88,7.95,L,phones,samples
7.95,8.01,G,phones,samples
8.01,8.18,ER1,phones,samples
8.18,8.32,L,phones,samples
